time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-20T21:28:10.070Z,33.4923333,-116.7901667,4.28,1.02,ml,36,36,0.02172,0.17,ci,ci38401224,2018-12-20T21:39:22.100Z,"9km NE of Aguanga, CA",earthquake,0.18,0.46,0.111,26,reviewed,ci,ci
2018-12-20T21:27:59.890Z,33.5028333,-116.793,5.08,0.62,ml,25,35,0.01132,0.14,ci,ci38401208,2018-12-20T21:35:09.769Z,"9km NE of Aguanga, CA",earthquake,0.21,0.63,0.119,17,reviewed,ci,ci
2018-12-20T21:21:52.626Z,60.3408,-152.0402,90.9,2.4,ml,,,,0.57,ak,ak20524280,2018-12-20T21:28:16.137Z,"40km W of Cohoe, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-12-20T21:20:19.410Z,33.4833333,-116.7931667,4.1,1.93,ml,65,37,0.02958,0.21,ci,ci38401200,2018-12-20T21:31:37.900Z,"8km NE of Aguanga, CA",earthquake,0.17,0.5,0.109,27,reviewed,ci,ci
2018-12-20T21:20:17.730Z,45.091,-111.7238333,-2,1.41,ml,15,108,0.265,0.18,mb,mb80329409,2018-12-20T21:32:17.190Z,"28km SE of Virginia City, Montana",quarry blast,0.6,31.61,0.042,5,reviewed,mb,mb
2018-12-20T21:20:07.230Z,33.492,-116.786,5.57,0.49,ml,17,84,0.02359,0.12,ci,ci38401192,2018-12-20T21:41:18.384Z,"9km NE of Aguanga, CA",earthquake,0.33,0.8,0.131,8,reviewed,ci,ci
2018-12-20T21:17:26.111Z,61.4238,-150.0379,42.8,1.4,ml,,,,0.59,ak,ak20524279,2018-12-20T21:20:43.029Z,"11km SSW of Big Lake, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-12-20T21:10:41.640Z,33.4851667,-116.7945,5.28,1.75,ml,61,38,0.02757,0.22,ci,ci38401184,2018-12-20T21:25:02.380Z,"8km NE of Aguanga, CA",earthquake,0.2,0.76,0.111,27,reviewed,ci,ci
2018-12-20T21:05:33.942Z,61.4295,-150.0425,41.7,1.7,ml,,,,0.53,ak,ak20524274,2018-12-20T21:10:59.511Z,"11km SSW of Big Lake, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-12-20T20:51:47.424Z,60.3065,-150.787,40.4,2,ml,,,,0.39,ak,ak20524267,2018-12-20T20:54:23.331Z,"25km S of Sterling, Alaska",earthquake,,1,,,automatic,ak,ak
2018-12-20T20:50:04.090Z,19.3368333,-155.1433333,4.88,2.51,ml,52,105,0.04897,0.11,hv,hv70739736,2018-12-20T21:40:39.720Z,"14km SE of Volcano, Hawaii",earthquake,0.33,0.74,0.093,12,reviewed,hv,hv
2018-12-20T20:47:49.887Z,61.3734,-150.018,33.5,2.6,ml,,,,0.77,ak,ak20524262,2018-12-20T20:58:14.729Z,"16km SSW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-12-20T20:47:49.070Z,33.4976667,-116.7923333,5.77,0.67,ml,25,60,0.01612,0.16,ci,ci38401152,2018-12-20T20:53:40.405Z,"9km NE of Aguanga, CA",earthquake,0.26,0.65,0.12,19,reviewed,ci,ci
2018-12-20T20:45:44.539Z,61.4973,-149.9435,34.5,1.5,ml,,,,0.69,ak,ak20524261,2018-12-20T20:49:31.031Z,"2km SSE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-20T20:36:06.462Z,61.3264,-149.9744,41,1.3,ml,,,,0.44,ak,ak20524260,2018-12-20T20:38:58.087Z,"12km NNW of Anchorage, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-12-20T20:31:53.832Z,61.9893,-150.6701,60.6,1.4,ml,,,,0.35,ak,ak20524258,2018-12-20T21:37:28.370Z,"42km NW of Willow, Alaska",earthquake,,1.4,,,reviewed,ak,ak
2018-12-20T20:29:44.965Z,37.9235,-118.6498,7.6,1.2,ml,13,80.96,0.067,0.1768,nn,nn00671110,2018-12-20T21:05:03.498Z,"41km NE of Mammoth Lakes, California",earthquake,,1.5,0.05,3,reviewed,nn,nn
2018-12-20T20:29:19.480Z,33.494,-116.7945,5.94,1.37,ml,46,34,0.01896,0.18,ci,ci38401120,2018-12-20T20:53:43.910Z,"9km NE of Aguanga, CA",earthquake,0.19,0.61,0.11,28,reviewed,ci,ci
2018-12-20T20:27:35.185Z,61.4663,-149.9763,34.1,2,ml,,,,0.77,ak,ak20524254,2018-12-20T20:35:16.400Z,"6km S of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-20T20:26:49.420Z,37.9290009,-118.6470032,2.87,2.19,md,23,143,0.1217,0.05,nc,nc73124751,2018-12-20T21:23:02.561Z,"41km N of Toms Place, CA",earthquake,0.3,2.88,0.16,20,automatic,nc,nc
2018-12-20T20:26:40.190Z,33.5003333,-116.7941667,5.11,0.93,ml,34,36,0.01307,0.15,ci,ci38401112,2018-12-20T20:45:16.150Z,"9km NE of Aguanga, CA",earthquake,0.2,0.56,0.154,27,reviewed,ci,ci
2018-12-20T20:22:37.868Z,61.3683,-150.0276,40.4,1.6,ml,,,,0.5,ak,ak20524252,2018-12-20T20:32:35.503Z,"17km SSW of Big Lake, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-12-20T20:22:15.740Z,33.4901667,-116.7948333,5.07,1.77,ml,60,27,0.02262,0.21,ci,ci38401096,2018-12-20T20:45:06.570Z,"8km NE of Aguanga, CA",earthquake,0.18,0.74,0.12,26,reviewed,ci,ci
2018-12-20T20:18:22.940Z,33.4813333,-116.799,4.07,3.52,ml,129,13,0.03098,0.23,ci,ci38401064,2018-12-20T21:31:29.872Z,"8km NE of Aguanga, CA",earthquake,0.1,0.35,0.2,296,reviewed,ci,ci
2018-12-20T20:14:58.534Z,61.3724,-150.07,20.5,2.1,ml,,,,0.88,ak,ak20524246,2018-12-20T20:20:01.908Z,"17km SSW of Big Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-12-20T20:00:20.690Z,19.4195004,-155.2761688,0.3,1.87,ml,16,72,0.005399,0.14,hv,hv70739701,2018-12-20T20:06:10.940Z,"4km WSW of Volcano, Hawaii",earthquake,0.27,0.27,0.35,8,automatic,hv,hv
2018-12-20T19:57:28.790Z,37.6508333,-118.858,4.44,0.37,md,15,117,0.02176,0.04,nc,nc73124726,2018-12-20T21:24:02.566Z,"11km E of Mammoth Lakes, CA",earthquake,0.59,0.65,0.129,12,reviewed,nc,nc
